Reference,Value,Footprint,Qty,LCSC
C1,0.1uF,0603,1,C14663
C2,1uF,1206,1,C1848
C3,10uF,0805,1,C15850
D1,SMF18A,SOD-123F,1,C19077512
Q1,BC847,SOT-23,1,C20069135
Q2,BC847,SOT-23,1,C20069135
R1,1k,0603,1,C21190 
R2,33k,0603,1,C4216
R3,10k,0603,1,C25804
R4,10k,0603,1,C25804
R5,160R0,0805,1,C25269
R6,5M1 1%,0603,1,C13320
R7,220k 1%,0603,1,C22961
R8,220k 1%,0603,1,C22961
R9,470R,0603,1,C23179 
R10,470R,0603,1,C23179 
R11,33R,0805,1,C17634
R12,33R,0805,1,C17634
R13,10k,0402,1,C25744
R14,10k,0402,1,C25744
U1,TPS7B8601QDDARQ1,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm,1,C5189739
U2,DS3231M,SOIC-16W_7.5x10.3mm_P1.27mm,1,C9866
