Designator,Mid X,Mid Y,Rotation,Layer
C1,156.0,-79.8125,270.0,bottom
C2,175.0875,-62.855,90.0,bottom
C3,158.8375,-63.605,90.0,bottom
D1,181.5,-63.75,90.0,bottom
Q1,162.5625,-96.05,180.0,bottom
Q2,197.75,-96.0,0.0,bottom
R1,153.0,-79.825,90.0,bottom
R10,193.75,-96.0875,90.0,bottom
R11,158.5,-94.75,270.0,bottom
R12,201.5,-95.0,90.0,bottom
R13,188.7,-95.4,270.0,bottom
R14,186.5,-95.4,270.0,bottom
R2,178.575,-66.5,180.0,bottom
R3,175.175,-66.5,180.0,bottom
R4,156.0,-75.675,90.0,bottom
R5,201.5,-65.5,90.0,bottom
R6,164.5875,-63.855,90.0,bottom
R7,162.8375,-61.9425,90.0,bottom
R8,161.0875,-61.855,270.0,bottom
R9,166.75,-96.0875,270.0,bottom
U1,169.4,-62.72,180.0,bottom
U2,194.0,-104.1,270.0,bottom
